name,party,chamber,district,partyUnity,independenceRate,votedWithParty,partyLineVotes,participationRate,missedRate,cast,missed,totalRollCalls,presidingOfficer,id
Arlene Beckles,Democratic,House of Representatives,96,0.9826,0.0174,338,344,0.9952,0.0048,1243,6,1249,false,ocd-person/3b3da57c-2f96-4a94-a7bc-eb6a814cc627
Ruwa Romman,Democratic,House of Representatives,97,0.9971,0.0029,339,340,0.8847,0.1153,1105,144,1249,false,ocd-person/d291834f-70cd-48b5-b7db-b05d23d74a4c
Marvin Lim,Democratic,House of Representatives,98,0.9942,0.0058,340,342,0.9872,0.0128,1233,16,1249,false,ocd-person/9531d502-440c-48db-83c4-70dfbe9a9ea1
Matt Reeves,Republican,House of Representatives,99,0.9971,0.0029,341,342,0.9856,0.0144,1231,18,1249,false,ocd-person/0f4f3c5a-1192-4ec1-9698-4aef005b4875
David Clark,Republican,House of Representatives,100,1.0,0.0,1,1,0.9941,0.0059,670,4,674,false,ocd-person/ad18dba4-9247-4542-95b1-2ccef815dbc7
Scott Holcomb,Democratic,House of Representatives,101,0.938,0.062,257,274,0.9239,0.0761,1154,95,1249,false,ocd-person/99ef9b20-6b1f-4831-8e58-a523de606cda
Gabe Okoye,Democratic,House of Representatives,102,0.9618,0.0382,327,340,0.9696,0.0304,1211,38,1249,false,ocd-person/dc99efc3-076b-4d00-b4b0-66a0507a4057
Soo Hong,Republican,House of Representatives,103,0.9971,0.0029,343,344,0.9944,0.0056,1242,7,1249,false,ocd-person/64721c9b-451c-4bc9-9040-4ca232ffd746
Chuck Efstration,Republican,House of Representatives,104,1.0,0.0,344,344,0.9984,0.0016,1247,2,1249,false,ocd-person/3ff894cb-f2e4-47d0-9f67-b125245a10c3
Sandy Donatucci,Republican,House of Representatives,105,1.0,0.0,344,344,0.9808,0.0192,1225,24,1249,false,ocd-person/4ab15127-5b7a-40bc-8807-26e8e8a73397
Akbar Ali,Democratic,House of Representatives,106,1.0,0.0,303,303,0.9961,0.0039,772,3,775,false,ocd-person/938f2479-c51f-446a-87f0-76d4f07c61e5
Sam Park,Democratic,House of Representatives,107,0.9971,0.0029,341,342,0.9552,0.0448,1193,56,1249,false,ocd-person/2ba0916f-40b1-4255-9496-94b12ccabd1e
Jasmine Clark,Democratic,House of Representatives,108,0.0,1.0,0,1,0.9941,0.0059,670,4,674,false,ocd-person/0461f02b-df18-4984-8b3b-ada287879d0a
Dewey McClain,Democratic,House of Representatives,109,0.997,0.003,335,336,0.956,0.044,1194,55,1249,false,ocd-person/8afda706-7afa-462c-89f2-0d6d5da010ff
Segun Adeyina,Democratic,House of Representatives,110,0.9854,0.0146,338,343,0.9776,0.0224,1221,28,1249,false,ocd-person/702658f4-8382-479a-9416-79928239d5e7
Rey Martinez,Republican,House of Representatives,111,0.9971,0.0029,343,344,0.9816,0.0184,1226,23,1249,false,ocd-person/08ee45fd-d3f4-4129-9e7c-27cf52533ed2
Bruce Williamson,Republican,House of Representatives,112,1.0,0.0,339,339,0.9728,0.0272,1215,34,1249,false,ocd-person/13b7af1b-5b56-481b-a81a-2001846188a6
Tim Fleming,Republican,House of Representatives,114,1.0,0.0,344,344,0.9968,0.0032,1245,4,1249,false,ocd-person/cf955c60-cbda-4414-9266-3d8dca3553fe
Regina Lewis-Ward,Democratic,House of Representatives,115,0.9666,0.0334,318,329,0.9263,0.0737,1157,92,1249,false,ocd-person/21651856-bba6-49fd-b3f8-8ed1b723e804
El-Mahdi Holly,Democratic,House of Representatives,116,0.9626,0.0374,283,294,0.8511,0.1489,1063,186,1249,false,ocd-person/4615e308-db74-408f-89df-02be56b5013b
Mary Ann Santos,Democratic,House of Representatives,117,0.985,0.015,328,333,0.9103,0.0897,1137,112,1249,false,ocd-person/7deae3f1-5548-4afe-9018-e8112945fd8d
Clint Crowe,Republican,House of Representatives,118,1.0,0.0,343,343,0.9824,0.0176,1227,22,1249,false,ocd-person/e1a9102d-f845-47f5-882e-e344eef060ec
Holt Persinger,Republican,House of Representatives,119,1.0,0.0,344,344,0.992,0.008,1239,10,1249,false,ocd-person/b39e2164-d570-45f2-b271-5e2fbe99c8d6
Houston Gaines,Republican,House of Representatives,120,1.0,0.0,344,344,0.9768,0.0232,1220,29,1249,false,ocd-person/e73cb2a6-bf3e-4211-a386-142c18a4f607
Eric Gisler,Democratic,House of Representatives,121,0.9704,0.0296,295,304,1.0,0.0,775,0,775,false,ocd-person/abece831-30a8-4cf8-94ff-d41f7f48197f
Spencer Frye,Democratic,House of Representatives,122,0.9912,0.0088,339,342,0.9183,0.0817,1147,102,1249,false,ocd-person/e6ae8d30-4b1b-4b06-8918-2be6fa7f8108
Rob Leverett,Republican,House of Representatives,123,1.0,0.0,344,344,0.9928,0.0072,1240,9,1249,false,ocd-person/29210f3f-ec97-47c8-9492-b81154275109
Trey Rhodes,Republican,House of Representatives,124,1.0,0.0,344,344,0.9864,0.0136,1232,17,1249,false,ocd-person/9dfc8ec3-0935-4d1d-877d-e05cf7a5dca5
Gary Richardson,Republican,House of Representatives,125,0.9942,0.0058,341,343,0.9712,0.0288,1213,36,1249,false,ocd-person/47fd36f3-f5d4-4ef6-a429-1ffc7681e233
L.C. Myles,Democratic,House of Representatives,126,0.974,0.026,262,269,0.8855,0.1145,1106,143,1249,false,ocd-person/1d9bb111-bf4f-4e4f-aa63-a2f6a94b566c
Mark Newton,Republican,House of Representatives,127,1.0,0.0,343,343,0.9544,0.0456,1192,57,1249,false,ocd-person/5e12fb82-1f69-46df-9ac5-a09ce51dd95b
Mack Jackson,Democratic,House of Representatives,128,1.0,0.0,23,23,0.9846,0.0154,447,7,454,false,ocd-person/8e209d95-2333-4aa2-a628-1bdcec0674f5
Karlton Howard,Democratic,House of Representatives,129,0.0,1.0,0,2,0.9756,0.0244,761,19,780,false,ocd-person/4b3fdb35-d3fb-40aa-843e-d3900df37ce4
Sheila Nelson,Democratic,House of Representatives,130,1.0,0.0,204,204,0.8408,0.1592,206,39,245,false,ocd-person/059c0e54-cc7b-4605-aee6-58388026a2fb
Rob Clifton,Republican,House of Representatives,131,0.9971,0.0029,339,340,0.9271,0.0729,1158,91,1249,false,ocd-person/84eb7371-a332-4534-b3b3-542500c798f8
Brian Prince,Democratic,House of Representatives,132,0.9213,0.0787,246,267,0.8967,0.1033,1120,129,1249,false,ocd-person/a53e6bbd-a5b8-436b-94ae-bebf957c5b61
Danny Mathis,Republican,House of Representatives,133,0.9971,0.0029,342,343,0.9704,0.0296,1212,37,1249,false,ocd-person/1a9598cc-056f-4725-a3fb-64c3f0fd26ed
Robert Dickey,Republican,House of Representatives,134,0.9942,0.0058,341,343,0.9704,0.0296,1212,37,1249,false,ocd-person/f863b50d-c865-463a-830a-e5648837d9f7
Beth Camp,Republican,House of Representatives,135,1.0,0.0,343,343,0.9904,0.0096,1237,12,1249,false,ocd-person/e4e40f68-0970-4392-b739-3c68f749bcdc
David Jenkins,Republican,House of Representatives,136,0.997,0.003,335,336,0.9007,0.0993,1125,124,1249,false,ocd-person/0f288c5b-484a-4b70-8209-0a23f922edd1
Debbie Buckner,Democratic,House of Representatives,137,0.9495,0.0505,263,277,0.9239,0.0761,1154,95,1249,false,ocd-person/5061bc6b-83af-46d0-a78d-30ebe10a63db
Vance Smith,Republican,House of Representatives,138,1.0,0.0,11,11,1.0,0.0,621,0,621,false,ocd-person/9deeb60b-4d1e-42b8-8052-d2808a30ea9a
Carmen Rice,Republican,House of Representatives,139,1.0,0.0,343,343,0.9848,0.0152,1230,19,1249,false,ocd-person/3646e872-85a6-4383-97c5-36ff96ca7113
Teddy Reese,Democratic,House of Representatives,140,0.9782,0.0218,314,321,0.8623,0.1377,1077,172,1249,false,ocd-person/9fe70ed7-31a0-4732-92b1-54d2a79a4654
Carolyn Hugley,Democratic,House of Representatives,141,0.9853,0.0147,336,341,0.9656,0.0344,1206,43,1249,false,ocd-person/0f5a9273-2fc6-458f-af59-b75070a1dc76
Miriam Paris,Democratic,House of Representatives,142,0.9704,0.0296,197,203,0.8359,0.1641,1044,205,1249,false,ocd-person/bad14891-c7bc-4ac4-b23a-fb5ae3878d67
Nissa Jones,Democratic,House of Representatives,143,0.0,1.0,0,2,1.0,0.0,581,0,581,false,ocd-person/55074030-4d64-4da0-b68a-5e3945d00f25
Dale Washburn,Republican,House of Representatives,144,0.9797,0.0203,289,295,0.7982,0.2018,997,252,1249,false,ocd-person/ec6cf250-ebcc-4dda-89a5-12da9ebbe51a
Tangie Herring,Democratic,House of Representatives,145,0.393,0.607,134,341,0.9904,0.0096,1237,12,1249,false,ocd-person/c5766526-3a5a-4d33-b5ff-a0d1d358d7ae
Shaw Blackmon,Republican,House of Representatives,146,0.997,0.003,334,335,0.9568,0.0432,1195,54,1249,false,ocd-person/ee145624-3295-4db4-b3ce-9d1583e4ef6e
