voteId,date,bill,title,motionText,yea,nay,result,billUrl
ocd-vote/754c13c9-1719-4c5d-a69c-91b7f592a43f,2026-06-20,HB 36,Catoosa County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74793
ocd-vote/76f4fc86-e7b9-48fe-abaf-27d40b06df13,2026-06-20,HB 63,Dodge County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74827
ocd-vote/78f4baf4-e955-4522-8ceb-65d71e8daa76,2026-06-20,HB 55,"Valdosta, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74819
ocd-vote/7a4e13f7-c66b-40ab-92bf-8532d00c550b,2026-06-20,HB 4,"Dudley, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74759
ocd-vote/7ccf101d-c31d-4914-b55f-ea55670985ad,2026-06-20,HB 52,"Walnut Grove, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74816
ocd-vote/7f316fcc-5f59-4d51-a1b9-e2478b7fd625,2026-06-20,HB 57,Pierce County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74821
ocd-vote/82a73f6a-21b0-4774-9d44-84892c443f24,2026-06-20,HB 64,Bleckley County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74828
ocd-vote/887489a7-bab1-47ce-9ba1-1a858475a641,2026-06-20,SB 1,Glynn County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #16 - 2026 Special Session,33,18,Pass,https://www.legis.ga.gov/legislation/74754
ocd-vote/8bdec093-7184-46b5-b449-596ea5bded77,2026-06-20,HB 60,Montgomery County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74824
ocd-vote/8bf98b40-8d68-4086-b1c8-6826e196ed81,2026-06-20,HB 1,"Dublin, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74753
ocd-vote/909b2a6c-afe7-49b6-8458-eae65a2e5df8,2026-06-20,HB 26,Ben Hill County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74783
ocd-vote/97c927d8-7556-4b54-a385-5e745d7bd93e,2026-06-20,SB 2,City of Brunswick; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #17 - 2026 Special Session,33,18,Pass,https://www.legis.ga.gov/legislation/74755
ocd-vote/98a0b095-a1d2-4b81-9680-3e4208099f8f,2026-06-20,HB 59,Walton County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74823
ocd-vote/9de0f7e1-ff23-4384-9336-8d8bd865ef1a,2026-06-20,HB 40,"Fort Oglethorpe, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74804
ocd-vote/9ee45364-7b87-403c-a1f6-a8fb68dbf325,2026-06-20,HB 19,Floyd County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74776
ocd-vote/9fd807a0-d0ab-4cb1-8322-c572ea90ed26,2026-06-20,SB 2,City of Brunswick; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #15 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74755
ocd-vote/a6885706-4f50-4019-aefe-97f8f4e2e86d,2026-06-20,HB 12,"Brunswick, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74769
ocd-vote/aab1b7ed-1958-4294-a248-e82cc8817c93,2026-06-20,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #13 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74767
ocd-vote/abbed0a4-1b35-4dbe-8943-9a49759536fe,2026-06-20,HB 43,"Blakely, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74807
